486
178
(10.000000, -22.772598, 10.000000) (0.100000, 0.472274, 0.100000) (0.000000, 0.000000)
(10.000000, -22.772598, 0.000000) (0.100000, 0.472274, 0.000000) (0.000000, 0.000000)
(0.000000, 11.179100, 0.000000) (0.000000, 0.811791, 0.000000) (0.000000, 0.000000)
(0.000000, 11.179100, 10.000000) (0.000000, 0.811791, 0.100000) (0.000000, 0.000000)
(10.000000, -22.772598, 10.000000) (0.100000, 0.472274, 0.100000) (0.000000, 0.000000)
(0.000000, 11.179100, 0.000000) (0.000000, 0.811791, 0.000000) (0.000000, 0.000000)
(10.000000, -38.006599, 20.000000) (0.100000, 0.319934, 0.200000) (0.000000, 0.000000)
(10.000000, -22.772598, 10.000000) (0.100000, 0.472274, 0.100000) (0.000000, 0.000000)
(0.000000, 11.179100, 10.000000) (0.000000, 0.811791, 0.100000) (0.000000, 0.000000)
(0.000000, 11.179100, 20.000000) (0.000000, 0.811791, 0.200000) (0.000000, 0.000000)
(10.000000, -38.006599, 20.000000) (0.100000, 0.319934, 0.200000) (0.000000, 0.000000)
(0.000000, 11.179100, 10.000000) (0.000000, 0.811791, 0.100000) (0.000000, 0.000000)
(10.000000, -12.382996, 30.000002) (0.100000, 0.576170, 0.300000) (0.000000, 0.000000)
(10.000000, -38.006599, 20.000000) (0.100000, 0.319934, 0.200000) (0.000000, 0.000000)
(0.000000, 11.179100, 20.000000) (0.000000, 0.811791, 0.200000) (0.000000, 0.000000)
(0.000000, 5.149498, 30.000002) (0.000000, 0.751495, 0.300000) (0.000000, 0.000000)
(10.000000, -12.382996, 30.000002) (0.100000, 0.576170, 0.300000) (0.000000, 0.000000)
(0.000000, 11.179100, 20.000000) (0.000000, 0.811791, 0.200000) (0.000000, 0.000000)
(10.000000, -34.347603, 40.000000) (0.100000, 0.356524, 0.400000) (0.000000, 0.000000)
(10.000000, -12.382996, 30.000002) (0.100000, 0.576170, 0.300000) (0.000000, 0.000000)
(0.000000, 5.149498, 30.000002) (0.000000, 0.751495, 0.300000) (0.000000, 0.000000)
(0.000000, 5.149498, 40.000000) (0.000000, 0.751495, 0.400000) (0.000000, 0.000000)
(10.000000, -34.347603, 40.000000) (0.100000, 0.356524, 0.400000) (0.000000, 0.000000)
(0.000000, 5.149498, 30.000002) (0.000000, 0.751495, 0.300000) (0.000000, 0.000000)
